,AM1,AM2,AM3,AM4,AM5,AM6,CD1,CD2,CD3,CD4,CD5,CD6,BU1,BU2,BU3,BU4,BU5,BU6,Rur,sex,Pub,pro_an,pro_cd,pro_bu,Mat
1835,4,NA,3,4,4,4,4,2,2,NA,2,3,1,1,1,1,2,1,1,M,1,3.8,2.6,1.166666667,362.8152
1836,3,2,NA,3,4,4,2,3,NA,3,2,NA,NA,NA,NA,NA,NA,NA,1,F,1,3.2,2.5,NA,369.7816
1837,2,2,NA,2,3,2,NA,3,3,4,NA,3,NA,NA,NA,NA,NA,NA,0,M,0,2.2,3.25,NA,437.9619
1838,NA,2,4,1,4,4,3,NA,3,NA,3,4,1,1,1,1,1,3,0,F,1,3,3.25,1.333333333,367.4135
1839,4,NA,2,2,2,2,2,NA,3,4,1,NA,1,1,1,1,2,3,0,M,1,2.4,2.5,1.5,312.7827
1840,4,4,4,4,NA,4,NA,NA,4,4,4,4,NA,NA,NA,NA,NA,NA,0,F,1,4,4,NA,344.7737
1841,3,3,3,3,3,NA,4,NA,NA,3,4,4,2,2,1,1,1,1,1,M,1,3,3.75,1.333333333,291.5038
1842,4,4,4,4,NA,4,3,NA,3,3,4,3,2,1,1,1,1,1,0,F,0,4,3.2,1.166666667,393.4933
1843,NA,1,1,1,3,1,3,3,2,NA,3,3,1,1,1,1,1,2,0,M,1,1.4,2.8,1.166666667,530.0525
1844,3,NA,2,2,NA,2,3,4,4,3,NA,3,2,2,1,1,1,1,0,F,0,2.25,3.4,1.333333333,481.4823
1845,3,3,3,NA,3,3,2,NA,3,2,3,NA,1,1,1,1,1,1,1,M,1,3,2.5,1,313.9141
1846,3,2,NA,2,4,4,NA,3,4,3,2,2,2,1,1,1,1,2,0,M,0,3,2.8,1.333333333,470.5647
1847,2,NA,2,2,3,3,1,NA,2,3,4,NA,2,3,1,1,1,4,0,F,1,2.4,2.5,2,434.741
1848,4,NA,3,1,4,1,NA,4,4,3,2,NA,1,1,1,1,1,1,1,F,1,2.6,3.25,1,394.6426
1849,2,2,NA,1,4,4,2,2,2,2,NA,NA,4,4,2,1,2,3,0,M,1,2.6,2,2.666666667,436.661
1850,1,1,1,1,1,NA,NA,2,3,3,3,3,1,1,1,1,1,1,1,M,1,1,2.8,1,487.9384
1851,4,4,4,3,4,NA,3,4,2,NA,4,NA,NA,NA,NA,NA,NA,NA,0,F,1,3.8,3.25,NA,364.6474
1852,4,4,4,4,4,NA,3,NA,3,3,3,NA,1,1,1,1,1,2,0,F,1,4,3,1.166666667,326.2504
1853,NA,NA,NA,NA,NA,NA,3,1,NA,2,2,NA,2,1,1,NA,4,1,1,F,1,NA,2,1.8,294.8134
1854,NA,3,2,3,2,3,NA,3,3,3,3,3,NA,NA,NA,NA,NA,NA,0,F,1,2.6,3,NA,373.7614
1855,4,4,4,4,NA,3,4,2,NA,2,2,4,1,1,1,1,2,1,0,M,1,3.8,2.8,1.166666667,363.9621
1856,2,2,NA,2,3,4,3,NA,4,4,3,NA,1,1,1,1,1,1,1,M,1,2.6,3.5,1,404.8083
1857,1,NA,1,1,1,1,4,NA,4,NA,4,1,1,1,1,1,1,3,1,F,1,1,3.25,1.333333333,285.5225
1858,1,4,4,4,1,NA,NA,3,4,NA,4,4,2,2,1,1,1,2,0,M,0,2.8,3.75,1.5,487.8907
1859,2,NA,2,2,2,2,4,3,NA,4,3,NA,1,1,1,1,1,1,0,M,1,2,3.5,1,393.7636
1860,3,2,NA,3,3,2,NA,3,3,3,3,NA,1,1,1,1,3,1,1,F,1,2.6,3,1.333333333,286.2062
1861,4,3,3,3,4,NA,3,3,NA,2,2,3,4,3,1,2,3,4,0,M,1,3.4,2.6,2.833333333,453.4407
1862,3,3,3,3,NA,3,2,3,3,3,2,NA,1,1,1,1,1,1,0,M,1,3,2.6,1,328.3751
1863,3,NA,3,3,4,4,3,NA,3,4,4,NA,NA,NA,NA,NA,NA,NA,0,F,0,3.4,3.5,NA,463.8504
1864,4,4,NA,3,4,4,4,3,3,4,NA,3,1,1,1,1,1,1,1,F,1,3.8,3.4,1,400.7842
1865,3,3,3,3,NA,3,3,NA,1,NA,4,2,2,1,1,1,1,3,0,M,1,3,2.5,1.5,329.674
1866,NA,NA,NA,NA,NA,NA,3,NA,3,4,2,NA,1,4,1,1,1,4,1,M,1,NA,3,2,335.803
1867,2,1,1,1,NA,3,4,NA,3,4,NA,3,1,1,1,1,1,1,0,F,1,1.6,3.5,1,489.4763
1868,4,4,4,4,NA,4,3,NA,3,3,4,4,1,1,1,1,1,1,0,M,1,4,3.4,1,426.9544
1869,NA,4,4,4,4,4,NA,NA,3,4,4,4,NA,NA,NA,NA,NA,NA,0,M,0,4,3.75,NA,423.3437
1870,3,2,NA,2,4,2,4,3,3,NA,NA,NA,1,1,1,1,1,1,0,M,1,2.6,3.333333333,1,378.5969
1871,NA,2,3,2,4,4,1,NA,NA,1,1,1,1,1,1,1,1,1,0,M,1,3,1,1,310.1438
1872,NA,2,2,3,4,4,3,NA,3,4,4,3,2,2,1,1,1,2,0,M,1,3,3.4,1.5,413.0442
1873,NA,3,3,3,4,3,2,3,4,3,NA,3,2,1,1,1,1,1,1,F,1,3.2,3,1.166666667,421.4921
1874,3,1,NA,2,4,3,NA,2,3,2,3,NA,1,1,1,1,1,1,0,F,0,2.6,2.5,1,436.9888
1875,NA,NA,NA,NA,NA,NA,3,NA,3,NA,3,3,2,2,2,1,1,2,1,F,1,NA,3,1.666666667,327.6213
1876,4,4,NA,4,4,4,3,2,3,3,NA,NA,3,3,2,1,1,2,0,F,0,4,2.75,2,445.0867
1877,1,1,NA,1,3,1,4,4,NA,4,4,NA,1,1,1,1,1,1,0,M,1,1.4,4,1,394.3915
1878,4,4,4,4,NA,4,NA,3,4,4,4,NA,2,1,1,2,1,1,0,F,1,4,3.75,1.333333333,319.8844
1879,4,4,NA,NA,4,3,4,2,NA,NA,1,4,1,1,1,1,1,1,0,M,1,3.75,2.75,1,310.5642
1880,3,3,3,3,NA,2,NA,3,NA,4,4,4,1,2,1,1,1,1,1,M,1,2.8,3.75,1.166666667,381.8857
1881,4,NA,4,4,4,4,2,NA,2,4,2,NA,1,3,1,1,2,3,0,F,1,4,2.5,1.833333333,413.6441
1882,2,3,NA,4,4,3,3,2,3,NA,3,NA,1,2,1,1,1,3,0,F,1,3.2,2.75,1.5,351.1271
1883,2,1,1,1,1,NA,NA,3,4,4,NA,4,1,1,1,1,1,1,0,M,1,1.2,3.75,1,469.2696
1884,4,3,4,4,NA,4,4,NA,NA,3,4,4,2,3,1,1,1,3,0,F,1,3.8,3.75,1.833333333,398.037
1885,2,2,NA,1,3,2,3,NA,NA,3,3,3,1,2,1,2,1,2,0,M,1,2,3,1.5,382.6164
1886,NA,1,3,3,4,1,4,NA,3,3,3,3,1,2,1,1,1,1,0,M,1,2.4,3.2,1.166666667,463.6566
1887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,3,4,1,1,F,1,NA,NA,2,348.7506
1888,1,1,1,1,3,NA,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,1,M,1,1.4,3,NA,467.5735
1889,2,2,NA,3,4,4,NA,2,NA,2,3,4,2,2,1,1,1,1,1,F,1,3,2.75,1.333333333,408.6095
1890,NA,3,4,3,4,4,4,4,4,NA,4,4,2,1,1,1,1,2,0,M,0,3.6,4,1.333333333,543.6499
1891,NA,2,3,3,4,4,NA,2,3,NA,2,4,3,1,2,3,1,2,0,F,0,3.2,2.75,2,461.1267
1892,4,3,3,NA,4,4,3,NA,2,3,3,NA,2,1,1,1,1,2,0,M,0,3.6,2.75,1.333333333,465.8867
1893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,F,1,NA,NA,NA,408.5356
1894,NA,2,2,2,3,3,NA,3,NA,3,4,1,2,1,1,1,1,1,0,F,1,2.4,2.75,1.166666667,369.5907
1895,2,NA,1,1,3,1,NA,3,4,4,4,NA,1,1,1,1,1,1,0,M,1,1.6,3.75,1,378.9235
1896,3,2,1,1,4,NA,3,2,3,4,2,NA,1,1,1,1,1,1,0,F,1,2.2,2.8,1,416.553
